Wifi_A,Wifi_A_5G,Wifi_D_5G,Wifi_C_5G,Wifi_B_5G,Wifi_D,Wifi_B,Wifi_C
0.86,0.5,1.0,0.88,1.0,0.18,0.93,0.57
0.71,0.67,0.12,0.75,0.8,0.64,0.33,0.29
0.57,0.5,0.12,0.75,0.8,0.36,0.47,0.29
0.57,0.5,0.12,0.75,0.8,0.09,0.27,0.29
0.43,0.33,0.0,0.62,0.8,0.55,0.4,0.29
0.29,0.67,0.12,0.75,0.4,0.64,0.27,0.29
1.0,0.5,0.12,0.75,0.4,0.0,0.53,0.29
0.43,0.83,0.25,0.75,0.8,0.27,0.53,0.29
0.43,0.33,0.0,0.75,0.8,0.64,0.53,0.14
0.29,0.67,0.0,0.62,0.8,0.45,0.53,0.29
0.86,0.33,1.0,0.75,0.2,0.18,1.0,0.14
0.86,0.33,1.0,0.75,0.8,0.0,0.6,0.14
0.43,0.33,0.0,0.75,0.8,0.55,0.6,0.43
0.86,0.33,0.12,0.75,0.8,0.27,0.53,0.43
1.0,0.33,0.12,0.62,0.4,0.45,0.4,0.29
0.71,0.67,0.12,0.62,0.8,0.45,0.33,0.29
0.86,0.33,0.12,0.75,0.6,0.27,0.53,0.43
1.0,0.33,0.12,0.62,0.4,0.45,0.4,0.29
0.57,0.5,0.0,0.62,0.8,0.45,0.33,0.0
1.0,0.5,0.38,0.75,0.6,0.36,0.4,0.14
0.43,0.67,0.25,0.62,0.8,0.45,0.47,0.14
0.57,0.33,0.12,0.75,0.8,0.36,0.47,0.14
0.57,0.33,0.38,0.75,0.8,0.18,0.47,0.14
1.0,0.33,0.25,0.75,0.6,0.45,0.47,0.29
0.57,0.5,0.12,0.75,0.6,0.36,0.53,0.14
0.57,0.5,0.12,0.75,0.8,0.36,0.47,0.29
0.57,0.5,0.12,0.75,0.8,0.18,0.27,0.14
0.57,0.5,0.12,0.75,0.6,0.36,0.53,0.14
1.0,0.67,0.0,0.75,0.8,0.27,0.47,0.14
0.43,0.5,0.12,0.75,0.8,0.36,0.47,0.29
0.0,0.17,0.38,0.0,0.2,0.36,0.0,1.0
0.29,0.33,0.38,0.75,0.8,0.36,0.47,0.29
1.0,0.5,0.38,0.62,0.6,0.55,0.4,0.14
0.86,0.33,0.12,0.62,0.8,0.45,0.53,0.14
0.57,0.67,0.25,0.62,0.8,0.09,0.4,0.29
0.86,0.5,0.12,0.75,0.8,0.64,0.53,0.29
0.43,0.67,0.0,0.75,0.8,0.36,0.4,0.29
0.57,0.33,0.12,0.75,0.8,0.36,0.47,0.14
0.29,0.67,0.0,0.62,0.8,0.45,0.53,0.29
0.57,0.5,0.0,0.75,0.8,0.36,0.6,0.43
0.43,0.67,0.12,0.75,0.8,0.55,0.53,0.14
0.57,0.33,0.12,0.75,0.8,0.45,0.47,0.29
0.57,1.0,0.12,0.25,0.0,0.0,0.8,0.14
1.0,0.5,0.12,0.75,0.8,0.36,0.53,0.29
0.57,0.67,0.12,0.75,0.6,0.45,0.2,0.29
0.57,0.67,0.12,0.75,1.0,0.36,0.6,0.14
0.57,0.5,0.25,0.75,0.8,0.18,0.53,0.29
0.29,0.33,0.38,0.75,0.8,0.36,0.47,0.29
0.57,0.33,0.12,0.75,0.8,0.45,0.47,0.29
0.86,0.5,0.0,0.88,0.6,0.45,0.47,0.14
0.71,0.67,0.12,0.75,0.8,0.55,0.33,0.29
1.0,0.33,0.12,0.62,0.4,0.45,0.4,0.29
0.43,0.33,0.0,0.62,0.8,0.55,0.4,0.29
0.43,0.83,0.25,0.75,0.8,0.27,0.53,0.29
0.86,0.33,0.12,0.75,0.8,0.27,0.53,0.43
0.71,0.67,0.12,0.75,0.8,0.55,0.33,0.29
0.71,0.67,0.12,0.62,0.8,0.45,0.33,0.29
0.57,0.5,0.0,0.75,0.4,0.27,1.0,0.29
1.0,0.67,0.0,0.75,0.8,0.27,0.47,0.14
0.43,0.67,0.25,0.62,0.8,0.45,0.47,0.14
0.43,0.33,0.12,0.62,0.6,0.55,0.4,0.43
0.57,0.5,0.12,0.75,0.6,0.45,0.87,0.14
0.86,0.33,1.0,0.75,0.8,0.0,0.6,0.14
0.86,0.5,0.12,0.62,0.8,0.45,0.47,0.14
1.0,0.5,0.38,0.75,0.6,0.36,0.4,0.14
0.43,0.33,0.0,0.75,0.8,0.55,0.6,0.43
0.86,0.33,0.12,0.75,0.6,0.27,0.53,0.43
0.57,0.0,0.38,0.62,1.0,1.0,0.53,1.0
0.43,0.33,0.0,0.75,0.8,0.64,0.53,0.14
