Wifi_A,Wifi_A_5G,Wifi_D_5G,Wifi_C_5G,Wifi_B_5G,Wifi_D,Wifi_B,Wifi_C
0.75,0.7,0.97,0.4,0.33,0.5,0.67,0.6
0.5,0.6,0.94,0.6,0.33,0.5,0.78,0.6
0.25,0.8,0.97,0.8,0.17,0.5,0.44,0.6
0.25,0.6,0.94,0.4,0.5,0.38,0.67,0.6
0.25,1.0,0.84,0.6,0.67,0.75,0.67,0.4
0.12,0.6,0.0,0.6,0.33,0.88,0.0,0.8
0.5,0.6,0.97,0.6,0.5,0.25,0.67,0.4
0.5,0.6,0.94,0.6,0.33,0.75,0.44,0.8
0.38,0.6,0.9,0.8,0.17,0.25,0.56,0.4
0.5,0.8,0.94,0.6,0.33,0.5,0.33,0.6
0.12,0.6,0.0,0.6,0.33,0.88,0.0,0.8
0.38,0.7,0.94,0.6,0.33,0.25,0.56,0.6
0.75,0.7,0.97,0.4,0.33,0.5,0.67,0.6
0.25,0.7,0.94,0.8,0.33,0.38,0.44,0.6
0.5,0.6,0.94,0.6,0.33,0.5,0.78,0.8
0.62,0.7,0.94,0.8,0.33,0.5,0.67,0.8
0.62,0.7,0.9,0.6,0.33,0.38,0.33,0.8
0.75,0.6,0.9,0.4,0.33,0.62,0.89,0.2
0.25,1.0,0.84,0.6,0.67,0.75,0.67,0.4
0.12,0.6,0.94,0.4,0.33,0.38,0.56,0.6
0.5,0.8,0.94,0.6,0.33,0.5,0.33,0.6
0.62,0.7,0.97,0.8,0.5,0.38,0.67,0.6
0.25,0.0,0.74,0.6,0.67,0.88,0.44,0.2
0.62,0.6,0.97,0.6,0.33,0.75,0.67,0.8
0.25,0.7,0.97,0.6,0.17,0.62,0.78,0.8
0.75,0.6,0.9,0.6,0.33,0.5,0.33,0.6
0.25,0.6,0.9,0.6,0.33,0.62,0.44,0.8
0.75,0.7,0.94,0.6,0.5,0.5,0.67,0.8
0.25,0.6,0.9,0.6,0.33,0.62,0.44,0.8
0.62,0.8,0.94,0.6,0.17,0.75,0.33,0.8
0.5,0.7,0.9,0.6,0.5,0.38,0.56,0.2
0.5,0.6,0.94,0.6,0.33,0.5,0.78,0.8
0.25,0.7,0.9,0.6,0.33,0.5,0.56,0.8
0.5,0.7,0.94,0.6,0.33,0.25,0.33,0.4
0.75,0.6,0.9,0.4,0.33,0.62,0.89,0.2
0.25,0.7,1.0,0.6,1.0,0.38,0.89,0.4
0.5,0.7,0.9,0.6,0.5,0.5,0.67,0.8
0.25,0.8,0.97,0.8,0.17,0.5,0.44,0.6
0.38,0.6,0.94,0.6,0.17,0.5,0.67,0.6
0.25,1.0,0.84,0.6,0.67,0.75,0.67,0.4
0.38,0.8,0.9,0.6,0.5,0.5,0.44,0.6
0.38,0.6,0.94,0.6,0.17,0.5,0.67,0.6
0.25,0.6,0.94,0.4,0.33,0.5,0.44,0.8
0.5,0.6,0.97,0.6,0.5,0.25,0.67,0.4
0.38,0.6,0.9,0.6,0.33,0.25,0.33,0.6
0.25,0.6,0.94,0.4,0.33,0.5,0.44,0.8
0.62,0.7,0.97,0.8,0.5,0.38,0.67,0.6
0.38,0.7,0.94,0.6,0.33,0.25,0.56,0.6
0.5,0.6,0.94,0.6,0.33,0.5,0.78,0.8
0.5,0.7,0.9,0.6,0.5,0.5,0.67,0.8
0.5,0.7,0.94,0.6,0.33,0.25,0.33,0.4
0.12,0.6,0.0,0.6,0.33,0.88,0.0,0.8
0.12,0.8,0.94,0.6,0.33,0.75,0.56,0.8
0.38,0.6,0.9,0.6,0.5,0.62,0.78,0.6
0.38,0.8,0.94,0.6,0.33,0.5,0.78,0.8
0.38,0.7,0.9,0.6,0.33,0.38,0.33,0.6
0.75,0.6,0.9,0.6,0.33,0.5,0.33,0.6
0.38,0.8,0.9,0.6,0.5,0.5,0.44,0.6
0.38,0.6,0.9,0.6,0.33,0.0,0.56,0.4
0.25,0.7,0.94,0.8,0.33,0.38,0.44,0.6
0.25,0.8,0.97,0.8,0.17,0.5,0.44,0.6
0.75,0.6,0.97,0.6,0.33,0.12,0.56,0.6
0.5,0.6,0.94,0.6,0.33,0.5,0.78,0.6
0.25,0.6,0.9,0.6,0.33,0.62,0.44,0.8
0.25,0.7,0.97,0.6,0.17,0.62,0.78,0.8
0.38,0.7,0.94,0.6,0.33,0.25,0.56,0.6
0.38,0.7,0.9,0.6,0.67,0.75,0.78,0.6
0.38,0.7,0.9,0.6,0.67,0.75,0.78,0.6
0.62,0.9,0.94,1.0,0.0,0.75,1.0,0.0
0.38,0.6,0.9,0.6,0.33,0.0,0.56,0.4
0.75,0.6,0.9,0.4,0.33,0.62,0.89,0.2
0.62,0.7,0.97,0.6,0.17,0.75,0.44,0.6
0.5,0.7,0.94,0.6,0.33,0.25,0.33,0.4
0.5,0.7,0.94,0.6,0.33,0.25,0.33,0.4
0.12,0.6,0.0,0.6,0.33,0.88,0.0,0.8
0.38,0.6,0.9,0.6,0.5,0.62,0.78,0.6
0.75,0.7,0.97,0.0,0.17,0.75,0.67,0.6
0.38,0.6,0.9,0.6,0.33,0.25,0.33,0.6
0.5,0.6,0.94,0.6,0.5,1.0,0.67,0.8
0.5,0.8,0.94,0.8,0.17,0.62,0.67,1.0
0.5,0.8,0.94,0.8,0.17,0.62,0.67,1.0
0.75,0.6,0.9,0.6,0.33,0.62,0.33,1.0
0.38,0.6,0.9,0.6,0.33,0.25,0.33,0.6
0.75,0.6,0.9,0.6,0.33,0.5,0.33,0.6
0.5,0.6,0.94,0.6,0.33,0.5,0.78,0.6
0.5,0.7,0.9,0.6,0.5,0.38,0.56,0.2
0.62,0.9,0.94,1.0,0.0,0.75,1.0,0.0
0.38,0.6,0.9,0.8,0.17,0.25,0.56,0.4
0.25,0.0,0.74,0.6,0.67,0.88,0.44,0.2
0.25,0.7,0.97,0.6,0.33,0.5,0.67,0.8
0.5,0.6,0.94,0.6,0.33,0.75,0.44,0.8
0.25,0.7,0.9,0.6,0.33,0.5,0.56,0.8
0.12,0.6,0.94,0.4,0.33,0.38,0.56,0.6
0.25,0.0,0.74,0.6,0.67,0.88,0.44,0.2
0.62,0.7,0.97,0.6,0.17,0.75,0.44,0.6
0.5,0.6,0.94,0.6,0.33,0.5,0.78,0.8
0.75,0.7,0.97,0.4,0.33,0.5,0.67,0.6
0.5,0.8,0.94,0.6,0.33,0.5,0.33,0.6
0.38,0.6,0.94,0.6,0.17,0.5,0.67,0.6
0.25,0.7,0.94,0.6,0.5,0.38,0.67,0.8
0.12,0.8,0.94,0.4,0.5,0.62,0.67,0.6
0.25,0.6,0.94,0.6,0.33,0.12,0.67,0.8
0.62,0.6,0.94,0.8,0.33,0.62,0.44,0.6
0.25,0.6,0.94,0.6,0.33,0.12,0.67,0.8
0.38,0.6,0.9,0.6,0.33,0.0,0.56,0.4
0.12,0.8,0.94,0.4,0.5,0.62,0.67,0.6
0.5,0.6,0.97,0.6,0.5,0.25,0.67,0.4
0.25,0.7,0.97,0.6,0.33,0.5,0.67,0.8
0.12,0.6,0.94,0.4,0.33,0.38,0.56,0.6
0.38,0.6,0.9,0.8,0.17,0.25,0.56,0.4
0.5,0.8,0.94,0.6,0.33,0.5,0.33,0.6
0.38,0.8,0.94,0.6,0.33,0.5,0.78,0.8
0.62,0.7,0.97,0.6,0.17,0.75,0.44,0.6
0.38,0.8,0.94,0.6,0.33,0.5,0.78,0.8
0.25,0.7,1.0,0.6,1.0,0.38,0.89,0.4
0.5,0.7,0.9,0.6,0.5,0.38,0.56,0.2
0.75,0.7,0.97,0.0,0.17,0.75,0.67,0.6
0.75,0.7,0.97,0.0,0.17,0.75,0.67,0.6
0.38,0.6,0.94,0.6,0.17,0.5,0.67,0.6
0.12,0.8,0.94,0.6,0.33,0.75,0.56,0.8
1.0,1.0,0.9,0.4,0.5,0.25,0.33,0.8
0.38,0.6,0.9,0.8,0.17,0.25,0.56,0.4
0.62,0.6,0.97,0.6,0.33,0.75,0.67,0.8
0.25,0.7,0.97,0.6,0.33,0.38,0.22,0.6
0.75,0.6,0.97,0.6,0.33,0.12,0.56,0.6
0.0,0.6,0.94,0.6,0.33,0.25,0.33,0.6
0.5,0.7,0.94,0.6,0.5,0.5,0.67,0.4
0.75,0.6,0.9,0.6,0.33,0.62,0.33,1.0
0.38,0.7,0.9,0.6,0.67,0.75,0.78,0.6
0.5,0.6,0.94,0.6,0.33,0.5,0.78,0.6
0.5,0.6,0.94,0.6,0.5,1.0,0.67,0.8
0.38,0.6,0.9,0.6,0.33,0.25,0.33,0.6
0.5,0.6,0.9,0.8,0.33,0.62,0.33,0.4
0.62,0.9,0.94,1.0,0.0,0.75,1.0,0.0
0.25,0.7,0.97,0.6,0.33,0.5,0.67,0.8
0.62,0.7,0.94,0.8,0.33,0.5,0.67,0.8
0.25,0.6,0.94,0.6,0.33,0.12,0.67,0.8
