Wifi_A,Wifi_A_5G,Wifi_C,Wifi_B,Wifi_B_5G,Wifi_C_5G,Wifi_D,Wifi_D_5G
0.58,0.33,0.5,0.36,0.33,0.44,0.17,0.5
0.33,0.75,0.17,0.36,0.33,0.56,0.67,0.33
0.58,0.25,0.5,0.36,0.33,0.44,0.17,0.67
0.58,0.33,0.58,0.36,0.22,0.56,0.5,0.5
0.67,0.25,0.5,1.0,0.33,0.44,0.5,0.33
0.67,0.17,0.42,0.09,0.67,0.33,0.44,0.67
0.75,0.42,0.67,0.0,0.89,0.56,0.44,0.67
0.17,0.58,0.67,0.27,0.33,0.78,0.5,0.67
0.75,0.33,0.5,0.18,0.11,0.33,0.22,0.83
0.58,0.25,0.42,0.36,0.33,0.44,0.17,0.5
0.33,0.83,0.58,0.27,0.44,0.78,0.61,0.67
0.67,0.25,0.42,0.36,0.33,0.33,0.33,0.67
0.5,0.67,0.42,0.27,0.89,0.56,0.33,0.5
0.67,0.33,0.5,0.55,0.22,0.56,0.39,0.5
0.75,0.5,0.33,0.36,0.44,0.67,0.83,0.17
0.67,0.25,0.58,0.36,0.33,0.44,0.28,0.5
0.58,0.25,0.5,0.27,0.44,0.33,0.44,0.5
0.83,0.42,0.5,0.45,0.33,0.22,0.61,0.67
0.5,0.25,0.5,0.45,0.33,0.44,0.28,0.67
0.58,0.25,0.5,0.36,0.33,0.44,0.22,0.67
0.58,0.42,0.58,0.18,0.56,0.78,0.67,0.17
0.67,0.33,0.58,0.45,0.22,0.44,0.83,0.67
0.5,0.25,0.5,0.45,0.22,0.56,0.22,0.67
0.58,0.25,0.5,0.36,0.33,0.56,0.5,0.5
0.67,0.25,0.5,0.36,0.33,0.44,0.33,0.5
0.75,0.92,0.25,0.09,0.44,0.56,0.28,0.17
0.67,0.17,0.67,0.27,0.44,0.44,0.39,0.5
0.75,0.33,0.5,0.36,0.33,0.44,0.11,0.67
0.33,0.58,0.5,0.45,0.56,0.56,0.44,1.0
0.58,0.33,0.5,0.45,0.22,0.44,0.33,0.67
0.17,0.5,0.75,0.36,0.33,0.67,1.0,0.33
0.5,0.25,0.42,0.36,0.44,0.44,0.56,0.83
0.67,0.08,0.5,0.36,0.44,0.56,0.5,0.33
0.67,0.42,0.83,0.27,0.56,0.44,0.61,0.5
0.67,0.33,0.25,0.18,1.0,0.78,0.94,0.67
0.42,0.42,0.67,0.36,0.22,0.67,0.67,0.33
0.58,0.25,0.5,0.45,0.33,0.44,0.22,0.33
0.5,0.33,0.67,0.64,0.56,0.33,0.44,0.5
0.0,0.25,0.42,0.36,0.11,0.22,0.33,0.5
0.75,0.5,0.67,0.27,0.22,0.0,0.44,0.5
0.67,0.33,0.5,0.36,0.22,0.33,0.11,0.67
0.58,0.42,0.42,0.27,0.33,0.44,0.89,0.5
0.67,0.33,0.5,0.09,0.78,0.89,0.39,0.17
